,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,7.095848083496094,2.6638033390045166,0.24461455643177032,0.494585245847702
1,0.23737092316150665,0.4872072637081146,0.17728957533836365,0.42105770111083984
2,0.1681230068206787,0.4100280702114105,0.1376628577709198,0.37102946639060974
3,0.14755450189113617,0.38412824273109436,0.16527210175991058,0.406536728143692
4,0.1336621344089508,0.36559832096099854,0.1068749651312828,0.3269173800945282
5,0.12509728968143463,0.3536909520626068,0.13585704565048218,0.3685879111289978
6,0.11942090094089508,0.3455733060836792,0.09230619668960571,0.30381935834884644
7,0.11436937749385834,0.3381854295730591,0.12195459753274918,0.3492199778556824
8,0.10883160680532455,0.32989636063575745,0.09000932425260544,0.30001553893089294
9,0.10339640080928802,0.321553111076355,0.0835644006729126,0.2890750765800476
10,0.09674772620201111,0.3110429644584656,0.0730796530842781,0.2703324854373932
11,0.09839030355215073,0.31367227435112,0.07366378605365753,0.27141073346138
12,0.0870247334241867,0.29499953985214233,0.0771636962890625,0.2777835428714752
13,0.08443141728639603,0.29057085514068604,0.06014954298734665,0.2452540397644043
14,0.08251139521598816,0.2872479557991028,0.06693670153617859,0.2587212920188904
15,0.07825060933828354,0.2797330915927887,0.054133396595716476,0.23266585171222687
16,0.07520446926355362,0.2742343246936798,0.05486394464969635,0.23423053324222565
17,0.07530591636896133,0.27441924810409546,0.06055399030447006,0.24607720971107483
18,0.07509571313858032,0.2740359604358673,0.05404245853424072,0.2324703335762024
19,0.0718553215265274,0.2680584192276001,0.0532710924744606,0.23080530762672424
20,0.06597541272640228,0.2568567991256714,0.06329397857189178,0.25158295035362244
21,0.06058257445693016,0.24613527953624725,0.04707077518105507,0.21695800125598907
22,0.06053320690989494,0.24603496491909027,0.05965552106499672,0.2442447990179062
23,0.06256912648677826,0.25013822317123413,0.044567495584487915,0.21111014485359192
24,0.06127306446433067,0.24753396213054657,0.042083222419023514,0.20514196157455444
25,0.06130358204245567,0.24759560823440552,0.05747397989034653,0.23973731696605682
26,0.05466609448194504,0.23380781710147858,0.054351989179849625,0.2331351339817047
27,0.05337703973054886,0.23103471100330353,0.04346239194273949,0.20847636461257935
28,0.05209391564130783,0.22824092209339142,0.04505392163991928,0.21225908398628235
