,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,4.074944019317627,2.018649101257324,0.49690237641334534,0.7049130201339722
1,2.478696346282959,1.574387550354004,0.49742797017097473,0.7052857279777527
2,1.822534441947937,1.3500127792358398,0.4852946996688843,0.6966309547424316
3,1.3764753341674805,1.173232913017273,0.484052836894989,0.6957390308380127
4,1.1401163339614868,1.0677622556686401,0.4627147316932678,0.6802313923835754
5,0.9650452733039856,0.9823671579360962,0.44784191250801086,0.669209897518158
6,0.8556545972824097,0.9250159859657288,0.4087555706501007,0.6393399238586426
7,0.7981780171394348,0.8934081196784973,0.36219656467437744,0.6018276810646057
8,0.712031900882721,0.8438198566436768,0.40703409910202026,0.637992262840271
9,0.6924878358840942,0.8321585655212402,0.36932578682899475,0.6077218055725098
10,0.6332822442054749,0.7957903146743774,0.3562369644641876,0.596855878829956
11,0.5675680637359619,0.7533711194992065,0.33592599630355835,0.5795912146568298
12,0.558442234992981,0.7472899556159973,0.3293428421020508,0.5738840103149414
13,0.531038224697113,0.7287237048149109,0.3173464238643646,0.5633350610733032
14,0.4932178854942322,0.7022947072982788,0.30560460686683655,0.5528151392936707
15,0.484803169965744,0.6962780952453613,0.3133942782878876,0.559816300868988
16,0.48263785243034363,0.6947214007377625,0.3057650625705719,0.5529602766036987
17,0.46313726902008057,0.6805418729782104,0.3101713955402374,0.5569303035736084
18,0.4487209618091583,0.6698663830757141,0.31453436613082886,0.5608336329460144
